Gurtner Peter;;;Alternativmodelle der Wohnbauförderung Ein Systemvergleich zwischen der Objekt- und der Subjekthilfe. Dargestellt am Beispiel der neuen Wohnbauförderungskonzeption des Bundes sowie in- und ausländischer Individualhilfemethoden;;;;0;451 + Anhang;Druckerzeugnis;Dissertation der Hochschule St. Gallen, Nr. 465;Haupt-Bibliothek;AJ 210;Bern;Eidg. Drucksachen- und Materialzentrale;1972;YY;;;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Gramlich Edward M.;;;Benefit-Cost Analysis of Government Programs;;;;0.13.074757.2;265;Druckerzeugnis;0;Haupt-Bibliothek;BG 131;Englewood Cliffs;Prentice-Hall;1981;YL7;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder
Haberler Gottfried;Bartel Karl;;Das Inflationsproblem heute;Stabilisierung oder Anpassung;;;3.428.03264.0;206;Druckerzeugnis;0;Haupt-Bibliothek;AG 224;Berlin;Duncker & Humblot;1974;YN;;;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
EG-Kommission;;;Die künftige Finanzierung der Gemeinschaft;;;;0;37;Druckerzeugnis;Mitteilung der Kommission an den Rat und an das Europäische Parlament;Haupt-Bibliothek;FB 142;Brüssel;EG;1983;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";Finanzwirtschaft supranationaler Behörden
Brede Helmut;Buschor Ernst;;Das neue Öffentliche Rechnungswesen;;;;3-7890-3111-9;322;Druckerzeugnis;Betriebswirtschaftliche Beiträge zur Haushaltsreform in Deutschland, Österreich und der Schweiz Schriften zur öffentlichen Verwaltung und öffentlichen Wirtschaft, Bd. 133;Haupt-Bibliothek;VF 113;Baden-Baden;Nomos;1993;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Ziegelschmidt Helmut;;;Die Beurteilung öffentlicher Investitionen unter Unsicherheit;;;;0;229;Druckerzeugnis;Dissertation der Johann Wolfgang Goethe-Univesität zu Frankfurt/Main;Haupt-Bibliothek;AG 252;;Offset;1976;YN;;;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
Ritzmann Franz;;;Die Schweizer Banken;Geschichte - Theorie - Statistik;;;3.258.02038.8;373;Druckerzeugnis;Habilitation der Uni Zürich, 1973;Haupt-Bibliothek;AK 0246;Bern;Paul Haupt;1973;YK;;;Wirtschaftswissenschaften;Geld, Kredit- und Bankwesen. Bankbetriebslehre;0
Bucher Erwin;;;Das eidgenössische Schuldbuch;;;;0;48;Druckerzeugnis;Inaugural-Dissertation zur Erlangung der Würde eines Doctor rerum politicarum der Rechts- und Wirtschaftswissenschaftlichen Fakultät der Universität Bern;Haupt-Bibliothek;DC 101;Zürich;Buchdruckerei Walter Plüss;1965;YL2;YL7;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder"
Marris Stephen N.;;;Decision-Making on Exchange Rates;;;;0;11;Druckerzeugnis;0;Separata;AK Sep. 222;Washington;Brookings Institution;1970;YK;;;Wirtschaftswissenschaften;Geld, Kredit- und Bankwesen. Bankbetriebslehre;0
Fluhr Karl Hans;;;Auch ohne Bürger sind wir sehr beschäftigt;;;;3-593-35431-4;173;Druckerzeugnis;Von der Schwierigkeit die Verwaltung zu modernisieren;Haupt-Bibliothek;EG 196;Frankfurt;Campus;1995;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Locher Peter;;;Die indirekte Teilliquidation im Recht der direkten Bundessteuer;;;;3 7272 9220 2;219-238;Druckerzeugnis;In: Reich, M. & Zweifel, M., (Hrsg.): Das schweizerische Steuerrecht - Eine Standortbestimmung Festschrift zum 70. Geburtstag von Prof. Dr. Ferdinand Zuppinger;Haupt-Bibliothek;;Bern;Stämpfli;;PE;;;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Einkommen Selbständigerwerbender, Unternehmungsbesteuerung;0
Bericht der Eidgenössischen Expertenkommission für die Neuordnung der Krankenversicherung;;;Bericht der Eidgenössischen Expertenkommission für die Neuordnung der Krankenversicherung vom 11. Februar 1972;;;;0;283;Druckerzeugnis;0;Haupt-Bibliothek;AF 123;Bern;Eidgenössische Drucksachen- und Materialzentrale;1972;YX;;;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;0
Tietmeyer Hans;;;Der Einfluss des Staates auf den Wettbewerb aus der Sicht des Bundesministeriums für Wirtschaft;;;;3.428.06084.9;49-66;Druckerzeugnis;In: Röper Burkhardt (Hrsg.): Der Einfluss des Staates auf den Wettbewerb;Haupt-Bibliothek;;Berlin;Duncker & Humblot;;YC;;;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Price Waterhouse;;;Corporate Taxes 1997 A Worldwide Summary;;;;-;720;Druckerzeugnis;0;Haupt-Bibliothek;PK 150 1;New York;Price Waterhouse World Firm Services BV;1997;PK;;;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Besteuerung juristischer Personen, Kapitalgesellschaften;0
Kelman Steven;;;Deregulating Federal Procurement;Nothing to Fear But Discretion Itself?;;;0.8157.1854.3;102-129;Druckerzeugnis;In: Dilulio John J. Jr./andere (ed.)- Deregulating the Public Sector;Haupt-Bibliothek;;Washington;Brookings Institution;;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
IFSt;;;IFSt-Heft 112;;;;-;165;Druckerzeugnis;0;Haupt-Bibliothek;Z 152 112;Bonn;Stollfuss;1976;Z;;;Zeitschriften;0;0
Scheil Xenia B.;;;Besteuerung von Alterseinkünften;;;;3.88259.281.8;196;Druckerzeugnis;Verteilungswirkungen der steuerlichen Behandlung im internationalen Vergleich;Haupt-Bibliothek;AH 192;München;V. Florentz GmbH;1983;YV;;;Wirtschaftswissenschaften;Arbeitnehmerfragen (Labor Economics);0
Timmermann Lars-Olaf;Jaeger Hans-Joachim;;Die Besteuerung von Mitarbeiteraktien und -optionsplänen ('ESOP') in der Schweiz;;;;0;31;Druckerzeugnis;0;Separata;PF Sep. 01;Zürich;Arthur Andersen;1997;PF;;;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Vermögensertrag;0
Schweiz. Bundesrat;;;Abkommen zwischen der Schweizerischen Eidgenossenschaft und den Europäischen Gemeinschaften;;;;0;653-999;Druckerzeugnis;Botschaft des Bundesrates an die Bundesversammlung vom 16. August 1972 Texte der Abkommen und der zusätzlichen Dokumente;Haupt-Bibliothek;FB 116;Bern;;1972;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";Finanzwirtschaft supranationaler Behörden
Weber L. H.;Vorsteher des Finanzdepartementes des Kanton Aargau;und diverse Andere;Bericht über die Vereinheitlichung und des Aufbaus und der Gliederung über die öffentliche Rechnung;;;;0;93;Druckerzeugnis;0;Haupt-Bibliothek;VD 110;Zug;FDK;1973;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Birkenfeld Wolfram;Forst Christian;;Das Umsatzsteuerrecht im Europäischen Binnenmarkt;;;;3 503 04133 8;472;Druckerzeugnis;Erläuterungen zum Mehrwertsteuersystem nach der 6. Umsatzsteuer-Richtlinie mit einer Textsammlung aller massgebenden Richtlinien- 3. A.;Haupt-Bibliothek;KA 175 1;Bielefeld;Erich Schmidt;1998;KA;;;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;0
Krüger Rolf;;;Das wirtschaftspolitische Instrumentarium;;;;0;129;Druckerzeugnis;Einteilungsmerkmale und Systematisierung;Haupt-Bibliothek;AG 123;Berlin;Duncker & Humblot;1967;YN;;;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
Nawiasky Hans;Bürgi Friedrich;;Die Stellung der Kantone im Bund;;;;0;142;Druckerzeugnis;0;Haupt-Bibliothek;BC 201;Einsiedeln;Benziger & Co. AG;1947;YL7;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder
Reich Markus;Zweifel Martin;;Das schweizerische Steuerrecht. Eine Standortbestimmung;Festschrift zum 70. Geburtstag von Prof. Dr. Ferdinand Zuppinger;;;3 7272 9220 2;643;Druckerzeugnis;0;HB Steuerrecht;JB 123;Bern;Stämpfli;1989;JB;;;Allgemeine Steuerrechtsliteratur;Festschriften, Sammelwerke, Bibliographien;0
Hansjürgens Bernd;;;Umweltabgaben im Steuersystem;;;;3-7890-2741-3;274;Druckerzeugnis;Zu den Möglichkeiten einer Einfügung von Umweltabgaben in das Steuer- und Abgabensystem der Bundesrepublik Deutschland Schriften zur öffentlichen Verwaltung, Bd. 140- hrsg. von Peter Eichhorn und Peter Friedrich;Haupt-Bibliothek;RD 502;Baden-Baden;Nomos;1992;RD;;;Uebrige Steuern;Uebrige Steuern;0
EG-Kommission;;;Bulletin der Europäischen Gemeinschaften Nr. 6-1988;;;;0;206;Druckerzeugnis;0;Haupt-Bibliothek;FB 156;Brüssel;EG;1988;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";Finanzwirtschaft supranationaler Behörden
EWG;;;Bericht des Steuer- und Finanzausschusses;;;;0;153;Druckerzeugnis;Neumark-Bericht;Haupt-Bibliothek;KA 102;;Veröffentlichungsstellen der Europ. Gemeinschaften;1962;KA;;;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;0
Europa-Forum Luzern;;;Die Schweiz und die verschärfte Steuerkonkurrenz in der Krisenzeit;Wettbewerbsfaktor Steuern;;;-;;CD-ROM/DVD;17. Internationales Europa Forum Luzern vom Montag, 2. November 2009, im KKL Luzern;Haupt-Bibliothek;TA 202 2;Luzern;Europa Forum Luzern;2010;TA;;;Finanz- und Steuerpolitik (Finanzreform);Bund;0
Fessler Ferdinand;;;Die Entwicklung der Steuerbelastung des Reineinkommens natürlicher Personen in Bund und Kanton Zürich;;;;3 7272 9220 2;13-29;Druckerzeugnis;In: Reich, M. & Zweifel, M., (Hrsg.): Das schweizerische Steuerrecht - Eine Standortbestimmung Festschrift zum 70. Geburtstag von Prof. Dr. Ferdinand Zuppinger;Haupt-Bibliothek;;Bern;Stämpfli;;PC;PE;;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;"Einkommensteuer allgemein-	Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0
Chancellor of the Exchequer;;;Better Accounting for the Texpayer's Money;;;;0;50;Druckerzeugnis;The Government's Proposals;Haupt-Bibliothek;VF 138;London;Parliament by the Chancellor;1995;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Institut de Droit des Affaires;;;Le système fiscal français et la construction européenne;;;;0;169;Druckerzeugnis;Table ronde du 21 janvier 1988;Haupt-Bibliothek;KE 112;Aix-Marseille;Presse universitaires;1989;KE;;;Ausländisches Steuerrecht;Frankreich;0
Zuber Heinz;;;Der französische Trésor;;;;0;201;Druckerzeugnis;Volkswirtschaftliche Schriften, Heft 108;Haupt-Bibliothek;EF 113;Berlin;Duncker & Humblot;1967;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Bundesamt für Statistik;;;Bildungsmosaik Schweiz;;;;3-303-15068-0;71;Druckerzeugnis;0;Haupt-Bibliothek;AE 193;Bern;BFS;1992;YJ;;;Wirtschaftswissenschaften;Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material;0
Hofmeister Albert;;;Anreizsysteme im öffentlichen Bereich;;;;0;258;Druckerzeugnis;0;Haupt-Bibliothek;EA 227;Bern;Schweizerische Gesellschaft für Verwaltungswissenschaften;1991;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Sultan Herbert;;;Art und Mass der Prognose der Steuerwirkungen;;;;0;23;Druckerzeugnis;Antrittsvorlesung am 18.7.31;Separata;CA Sep. 09;Tübingen;J.C.B. Mohr;1931;YL7;YL8;YL9;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre"
Schweiz. Kreditanstalt;;;Die Schweiz und die europäische Integration;;;;0;243;Druckerzeugnis;Berichte und Dokumente eines Seminars der Schweiz. Kreditanstalt;Haupt-Bibliothek;KA 105;;SKA;1968;KA;;;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;0
Oesch Richard;;;Die Holdingbesteuerung in der Schweiz;;;;-;559;Druckerzeugnis;Eine Studie über ihre Grundlage und Ausformung Diss. der Uni Zürich;Haupt-Bibliothek;PN 216;Zürich;Schulthess;1976;PN;;;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Besondere Arten von juristischen Personen;0
Finger Matthias;;;Conception et Developpement d'un Projet;;;;0;60;Druckerzeugnis;0;Haupt-Bibliothek;EF 248;Genf;Atag Ernst & Young Consulting;1997;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Förterer Jürgen;;;Die stabilitätspolitischen Vorschläge Milton Friedmans;;;;3.428.04464.9;231;Druckerzeugnis;Wissenschaft im Spannungsfeld von Werturteil und Theorie;Haupt-Bibliothek;AK 1036;Berlin;Duncker & Humblot;1979;YC;;;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Stachels Elmar;;;Das Stabilitätsgesetz im System des Regierungshandelns;;;;0;209;Druckerzeugnis;0;Haupt-Bibliothek;AG 196;Berlin;de Gruyter;1970;YN;;;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
Schweiz. Verwaltungs-Kurse an der HSG;;;Buts et méthodes d'une politique fiscale rationnelle sur le plan fédéral-cantonal et communal;;;;0;100;Druckerzeugnis;21e cours par l'Institut suisse de cours administratifs Université commerciale de St. Gall. 17. octobre 1942 à Montreux.;Haupt-Bibliothek;CA 104;St. Gallen;Institut suisse de cours administratifs;1942;YL7;YL8;YL9;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre"
Nawiasky Hans;;;Das Personalwesen der öffentlichen Verwaltung;;;;0;180;Druckerzeugnis;Die grossen Entwicklungslinien, Grundsätzliches über das Dienstrecht, Personalauslese, Vorbildung, Ausbildung, Fortbildung, Disziplinarwesen,ua.;Haupt-Bibliothek;EA 104;Einsiedeln;Verlagsanstalt Benziger & Co. AG;1958;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Simonek Madeleine;Eitel Paul;Müller Karin;Unternehmensrecht II;Nachfolge und Umstrukturierung;;;978-3-7255-5820-9;330;Druckerzeugnis;0;Haupt-Bibliothek;WC 262 2.1;Zürich;Schulthess;2009;WC;;;Uebrige Literatur;Privatrecht;0
Ossenbühl Klaus Hermann;;;Die gerechte Steuerlast;;;;0;175;Druckerzeugnis;Prinzipien der Steuerverteilung unter staatsphilosophischem Aspekt;Haupt-Bibliothek;CA 170;Heidelberg;F. H. Kerle Verlag;1972;YL7;YL8;YL9;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre"
Walker Beat;;;Das schweizerische Steuersystem;;;;3 7155 9001 7;391;Druckerzeugnis;Band 1;Haupt-Bibliothek;JA 137 1;Zürich;AKAD Verlag;1997;JA;;;Allgemeine Steuerrechtsliteratur;Allgemeines, Lehrbücher;0
Böhret Carl;;;Grundriss der Planungspraxis;;;;3.531.11199.X;223;Druckerzeugnis;Mittelfristige Programmplanung und angewandte Planungstechniken;Haupt-Bibliothek;AK 1001;Opladen;Westdeutscher Verlag;1975;YC;;;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Böhme Olaf J.;;;Die wirtschaftspolitische Willensbildung in der Schweiz;;;;3.261.04639.2;175;Druckerzeugnis;Ihre mögliche Verbesserung durch die Schaffung eines Eidgenössischen Wirtschaftsrates;Haupt-Bibliothek;AK 0425;Bern;Peter Lang;1979;YR;;;Wirtschaftswissenschaften;Gewerbepolitik. Einzelne Wirtschaftszweige;0
Peat Marwick Mitchell & Co.;;;Bank Taxation in Europe;;;;0;117;Druckerzeugnis;0;Haupt-Bibliothek;KA 319;Frankfurt;Peat Marwick Mitchell;1979;KA;;;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;0
OECD;;;Dealing Effectively with the Challenges of Transfer Pricing;;;;978-92-64-16946-3;109;Druckerzeugnis;Link: http://www.oecd.org/site/ctpfta/49428070.pdf;HB Steuerrecht;LC 6176;Amsterdam;IBFD;2012;LC;;;Interkantonales/Internationales Steuerrecht;Internationales Steuerrecht;0
Färber Gisela;;;Das rationale Budget;;;;3-8204-8042-0;312;Druckerzeugnis;Voraussetzungen und Konsequenzen für ein funktionsfähiges Haushaltswesen der öffentlichen Hand Beiträge zur Politikwissenschaft, Bd. 29;Haupt-Bibliothek;VB 167;Frankfurt;Peter Lang;1984;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Schaller François;;;Die Geldpolitik;;;;0;37;Druckerzeugnis;0;Separata;AK Sep. 227;Bern;Schweizerische Volksbank;1981;YK;;;Wirtschaftswissenschaften;Geld, Kredit- und Bankwesen. Bankbetriebslehre;0
Brunetti Aymo;Jaggi Markus;Weder Rolf;Die Schweiz in der europapolitischen Zwickmühle;;;;3 85823 785 X;284;Druckerzeugnis;Wirtschaftliche Umverteilung als entscheidender Faktor in der Aussenpolitik;Haupt-Bibliothek;GA 110;Zürich;Neue Zürcher Zeitung;1999;GA;;;Finanzrecht;Allgemeines;0
Zapf Wolfgang;;;Sozialpolitik in gesellschaftlichen Modernisierungskonzepten;;;;3.428.06702.9;51-64;Druckerzeugnis;In: Vobruba-Georg (Hrsg.): Der wirtschaftliche Wert der Sozialpolitik;Haupt-Bibliothek;;Berlin;Duncker & Humblot;;YX;;;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;0
Schweizerischer Bankverein;;;Der Bundeshaushalt im Jahre 1969 und seine Rückwirkungen auf die schweizerische Volkswirtschaft;;;;0;8;Druckerzeugnis;Bulletin des schweizerischen Bankvereins;Separata;VA Sep. 03;Basel;Schweizerischer Bankverein;1970;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Rohner Rudolf;;;Die Finanzkompetenzen der Landsgemeinden unter besonderer Berücksichtigung der Anwendung der Referendumsnormen;;;;0;180;Druckerzeugnis;Dissertation der Universität Zürich, 1970;Haupt-Bibliothek;GB 108;Zürich;Schulthess;1970;GB;;;Finanzrecht;Finanzreferendum;0
Pirker Theo;Gilles Franz-O.;;Autonomie und Kontrolle;;;;3.923024.22.3;185;Druckerzeugnis;Beiträge zur Soziologie des Finanz- und Steuerstaates;Haupt-Bibliothek;VE 116;Berlin;Schelzky & Jeep;1989;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Oester Hans Christian;;;Das Finanzreferendum im Kanton St.Gallen;;;;0;194;Druckerzeugnis;Dissertation der HSG, Nr. 160, 1962;Haupt-Bibliothek;GB 102;Winterthur;P. G. Keller;1962;GB;;;Finanzrecht;Finanzreferendum;0
Stein Matthias;;;Die Management-Holding;Analyse eines Struktur- und Führungskonzeptes;;;0;249;Druckerzeugnis;0;Haupt-Bibliothek;WA 340;Bamberg;Difo-Druck;1993;YP;;;Wirtschaftswissenschaften;Allgemeine Betriebswirtschaftslehre;0
Kroker Rolf;;;Der Staat als Wirtschaftsfaktor;;;;602.24793.7;45;Druckerzeugnis;Zur Aussagefähigkeit der Staatsquote;Separata;AC Sep. 08;Köln;Deutscher Instituts-Verlag;1981;YL1;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Allgemeines
Rombach Gerhard;;;Das Massgeblichkeitsprinzip im System einkommensteuerrechtlicher Gewinnermittlung;;;;3-89085-281-5;326;Druckerzeugnis;0;Haupt-Bibliothek;KB 186;Pfaffenweiler;Centaurus-Verlagsgesellschaft Pfaffenweiler;1988;KB;;;Ausländisches Steuerrecht;Deutschland;0
Baily Martin Neil;Tobin James;;Inflation-Unemployment Consequences of Job Creation Policies;;;;0.8157.6892.3;43-85;Druckerzeugnis;In: Palmer-John L. (Hrsg.): Creating Jobs - Public Employment Programs and Wage Subsidies;Haupt-Bibliothek;;Washington;Brookings Institution;1978;YN;;;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
IFSt;;;IFSt-Schrift 407;;;;3-89737-102-2;77;Druckerzeugnis;0;Haupt-Bibliothek;Z 153 407;Bonn;IFSt;2003;Z;;;Zeitschriften;0;0
United Nations;;;Commission on Transnational Corporations;;;;0;0;Druckerzeugnis;Report on the 13th Session (7-16 April 1987);Separata;AK Sep. 120 3;New York;United Nations;1987;YC;;;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Aschinger Franz E.;Binswanger Hans-Christoph;;Der Europäische Währungsblock aus schweizerischer Sicht;;;;3.258.01311.X;89;Druckerzeugnis;Bankwirtschaftliche Forschungen, Bd. 16;Haupt-Bibliothek;FB 124;Bern;Paul Haupt;1973;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";Finanzwirtschaft supranationaler Behörden
Blankart Charles B.;Pommerehne Werner;Schneider Friedrich;Warum nicht reprivatisieren?;;;;3.428.05603.5;221-246;Druckerzeugnis;In: Neumann Manfred (Hrsg.): Ansprüche, Eigentums- und Verfügungsrechte;Haupt-Bibliothek;;Berlin;Duncker & Humblot;;YC;;;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Vogel H. J.;;;Deutschlands Städte heute;aktuelle kommunale Probleme in der Bundesrepublik Deutschland;;;0;34-;Druckerzeugnis;Vortrag, gehalten an der ordentlichen GV des Schweiz. Städteverbandes in Biel, 3. und 4. Oktober 1969;Separata;AG Sep. 34;;;1969;YN;;;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
Walker Beat;;;Die Direkte Bundessteuer;Bd. 2;;;3 7155 9003 3;272;Druckerzeugnis;0;Haupt-Bibliothek;JA 138 I;Zürich;AKAD Verlag;1997;JA;;;Allgemeine Steuerrechtsliteratur;Allgemeines, Lehrbücher;0
Kehrli Hanspeter;;;Interkantonales Konkordatsrecht;;;;0;131;Druckerzeugnis;Dissertation ZH, Europäische Hochschulschriften, Reihe II, Bd. 12;Haupt-Bibliothek;WB 110;Bern;Verlag Lanf & Co. AG;1968;WB;;;Uebrige Literatur;Oeffentliches Recht;0
Klein Peter-Jörg;;;Das Berufsbild des Planers in der öffentlichen Verwaltung;;;;3 452 17244 9;172;Druckerzeugnis;Ein Beitrag zum Selbstverständnis des modernen Verwaltungsbeamten;Haupt-Bibliothek;EG 109;Köln;Carl Heymanns;1971;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
